prod_no,seller_prod_no,sell_channel,pay_yn,prod_nm,smart_pron_yn,shop_windw_nm,sell_gb,display_gb,prod_qty,prod_price,pc_dc_price,pc_seller_dc_rate,pc_admin_dc_rate,mo_dc_price,mo_seller_dc_rate,mo_admin_dc_rate,opt_yn,add_yn,prod_attr_yn,min_buy_qty,max_buy_qty,sevr_buy_dc,point_prod_buy,point_admin_buy,point_txt_review,point_pic_review,point_txt_mon_review,point_pic_mon_review,point_zzim_review,card_m_yn,gift,grp_deliv,deliv_cost_gb,deliv_cost_pay_way,deliv_basic_cost,deliv_return_cost,deliv_exchag_cost,free_return_ins_yn,nav_smartshop_yn,nav_windw_yn,large_category,medium_category,small_category,detail_category,maker_nm,brand_nm,brand_id,model_nm,brand_conf_yn,self_made_yn,custom_made_yn,confirm_yn,seller_prod_no2,seller_in_no1,seller_in_no2,main_url,sell_stt_dt,sell_end_dt,mo_preview_dt,insert_dt,modify_dt
5649692098,21-14,스마트스토어,Y,여름 라탄 우드링 그물 니트백 휴가철 토트백 여행 뜨개가방 3color,N,-,판매중,전시중,897,23730,18980,20%,,18980,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,패션잡화,여성가방,토트백,,협력업체,땅꿀,,땅꿀 우드링 네트백,,N,N,N,,,,http://shop1.phinf.naver.net/20210615_141/1623719900118rzV46_JPEG/24855742741211290_808773555.jpg,,,,2021.6.14 18:54,2021.7.20 15:20
5628205217,21-13,스마트스토어,Y,[핸드메이드] 라탄 원형 거울 빈티지 감성 카페 인테리어 현관 벽 붙이는 라운드,N,-,판매중,전시중,398,29000,23200,20%,,23200,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,수량별,선결제,3000,3000,6000,N,Y,-,가구/인테리어,침실가구,거울,벽걸이거울,협력업체,땅꿀,,라탄 원형거울,,N,N,N,,,,http://shop1.phinf.naver.net/20210610_99/1623314743227j047L_JPEG/24450526726024006_1594781700.jpg,,,,2021.6.4 1:36,2021.7.20 15:20
5628001138,12월 21일,스마트스토어,Y,[핸드메이드] 라탄 라운드 3칸 수납 바구니 소쿠리 티백 커피 악세사리 차키 열쇠 보관함 정리함,N,-,판매중,전시중,199,25000,20000,20%,,20000,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,3칸 수납 라탄바구니,,N,N,N,,,,http://shop1.phinf.naver.net/20210604_78/1622787229143R6w8B_JPEG/23923124847423887_1485866840.jpg,,,,2021.6.3 23:42,2021.7.20 15:20
5627556022,11월 21일,스마트스토어,Y,라탄 환심 등공예 DIY 2mm 2.5mm 3mm 500g,N,-,판매중,전시중,999,22300,17840,20%,,17840,20%,,Y,N,N,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수집품,공예품,,협력업체제조,땅꿀,,라탄 환심 공예 DIY 2mm 2.5mm 3mm 500g,,N,N,N,,,,http://shop1.phinf.naver.net/20210609_53/1623204460838gooIN_JPEG/24340306559169379_1324731583.jpg,,,,2021.6.3 19:40,2021.7.20 15:20
5624408079,10월 21일,스마트스토어,Y,[핸드메이드] 라탄 거울 물결 원형 카페 감성 벽걸이 인테리어 빈티지 휴양지 집들이 선물,N,-,판매중,전시중,998,39000,31200,20%,,31200,20%,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,가구/인테리어,침실가구,거울,벽걸이거울,,,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210608_165/1623113589156iWVKf_JPEG/24249477817338489_809974303.jpg,,,,2021.6.2 16:23,2021.7.20 15:20
5621348298,09월 21일,스마트스토어,Y,1+1 기획전 파스텔 우드수저세트 숟가락 젓가락 옻칠수저세트 신혼부부 이사선물 모던 하우스,N,-,판매중,전시중,8993,17500,14000,20%,,14000,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,무료,,0,3000,6000,N,Y,-,생활/건강,주방용품,식기,수저,협력업체,땅꿀,,파스텔 컬러 옻칠 우드 수저세트 3color,,N,N,N,,,,http://shop1.phinf.naver.net/20210610_31/1623314766236mwAji_JPEG/24450600052463234_1139229567.jpg,,,,2021.6.1 14:28,2021.7.20 15:20
5600531055,08월 21일,스마트스토어,Y,[핸드메이드] 라탄 손잡이 오픈박스 아기옷 기저귀 정리함 수건 장난감 다용도 수납 바구니,N,-,판매중,전시중,200,35000,28000,20%,,28000,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,라탄 오픈박스,,N,N,N,,,,http://shop1.phinf.naver.net/20210521_16/1621555475047eVROa_PNG/22691309867685394_1039237819.png,,,,2021.5.21 13:48,2021.7.20 15:20
5594328229,01월 21일,스마트스토어,Y,[핸드메이드] 감성 원형 라탄트레이 바구니 플레이트 접시 쟁반 홈카페 집들이선물,N,-,판매중,전시중,195,23000,18400,20%,,18400,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,원형라탄쟁반,,N,N,N,,,,http://shop1.phinf.naver.net/20210504_195/1620114291476TvvDW_JPEG/21250190128713895_2116661102.jpg,,,,2021.5.18 11:49,2021.7.20 15:20
5589492650,07월 21일,스마트스토어,Y,[핸드메이드] 손잡이 원목 라탄트레이 마호가니 우드 감성 카페 간식 다용도 나무 쟁반,N,-,판매중,전시중,95,33000,26400,20%,,26400,20%,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,주방용품,주방잡화,쟁반,협력업체,땅꿀,,라탄 원목 트레이,,N,N,N,,,,http://shop1.phinf.naver.net/20210515_35/1621087278646q3SUQ_JPEG/22223106124767132_1300546330.jpg,,,,2021.5.15 23:32,2021.7.20 15:20
5587112352,06월 21일,스마트스토어,Y,라탄 티코스터 천연 컵받침 소품 인테리어 원형 받침대 우드 나무 홈카페 빈티지,N,-,판매중,전시중,93,1000,1000,,,1000,,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,주방용품,주방잡화,컵받침/홀더,협력업체제조,땅꿀,,라탄 티코스터,,N,N,N,,,,http://shop1.phinf.naver.net/20210514_185/1620982487859MNgT5_JPEG/22118330354855713_1873401751.jpg,,,,2021.5.14 17:16,2021.7.20 15:20
5582755839,05월 21일,스마트스토어,Y,라탄 등나무 카페 쟁반 나무발 월데코 테이블매트 빵 커피,N,-,판매중,전시중,995,22500,18000,20%,,18000,20%,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,3000,3000,6000,N,Y,-,가구/인테리어,홈데코,주방데코,식탁매트,협력업체,땅꿀,,라탄 나무발 플레이트 쟁반 트레이 카페 소품,,N,N,N,,,,http://shop1.phinf.naver.net/20210512_12/16208171856387VKbr_JPEG/21953084128684755_1268971396.jpg,,,,2021.5.12 20:23,2021.7.20 15:20
5579894865,04월 21일,스마트스토어,Y,라벤더 생화같은 인테리어 조화 꽃 부케 소품 셀프웨딩 꽃꽂이,N,-,판매중,전시중,100,3000,3000,,,3000,,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,3000,3000,6000,N,Y,-,생활/건강,원예/식물,조화,,협력업체제조,땅꿀,,라벤더 조화,,N,N,N,,,,http://shop1.phinf.naver.net/20210518_96/162127203490144Bjr_JPEG/22407930605197512_1896920860.jpg,,,,2021.5.11 17:50,2021.7.20 15:20
5567114761,03월 21일,스마트스토어,Y,[핸드메이드] 라탄 매거진랙 잡지꽂이 수납함 집들이선물 노트북정리 책정리 바구니 이동식 유아 소형 책꽂이,N,-,판매중,전시중,73,49000,39200,20%,,39200,20%,,Y,Y,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,무료,,0,3000,6000,N,Y,-,가구/인테리어,수납가구,잡지꽂이,,협력업체제조,땅꿀,,라탄 멀티 수납랙,,N,N,N,,,,http://shop1.phinf.naver.net/20210504_115/16201090501758blNF_JPEG/21244878000599084_145504250.jpg,,,,2021.5.5 0:56,2021.7.28 17:44
5565758530,02월 21일,스마트스토어,Y,파스텔 우드수저세트 숟가락 젓가락 옻칠수저세트 신혼부부 이사선물 모던 하우스 캠핑 식기,N,-,판매중,전시중,3995,8000,6400,20%,,6400,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,주방용품,식기,수저,협력업체,땅꿀,,파스텔 컬러 옻칠 우드 수저세트 3color,,N,N,N,,,,http://shop1.phinf.naver.net/20210613_104/1623512266879vDXJM_JPEG/24648050397022858_1316134987.jpg,,,,2021.5.4 15:19,2021.7.20 15:20
